,isbn,rating_count
371,7345631,12794
372,2302013824,50
373,006106453X,143
374,785116648,244
375,803720785,479
376,034541411X,42
377,1843345676,13
378,1437717128,14
379,778329933,2299
380,547053444,422
381,520269098,64
382,195104676,22
383,517263130,778
384,500570027,6
385,385481969,9287
386,708322018,4
387,708323537,7
388,1600590691,68
389,1770460411,1768
390,307265676,34
391,831125756,298
392,781200377,376
393,373129939,796
394,547577389,4902
395,373731035,204
396,860078256,143
397,373730845,357
398,743400054,34
399,160085107X,178
400,860078302,145
401,534613179,42
402,1567505414,4
403,557533503,13
404,4889960724,233
405,373296274,45
406,312931751,101
407,1402251416,677
408,802721583,101
409,1551115263,188
410,299160440,8
411,1561841110,19
412,1920484663,224
413,715637851,52
414,230712312,96
415,1611210747,41
416,170137066,12
417,1606994387,512
418,1422134814,3834
419,195390075,6
420,830829083,6
421,446567191,744
422,373796021,139
423,5425085583,32
424,226534219,829
425,1595584951,1039
426,1595586180,126
427,761913467,23
428,62042564,557
429,1607101815,216
430,449911411,7282
431,231156820,343
432,1598167081,354
433,553277456,1542
434,1426307756,311
435,671702874,1878
436,231107013,17
437,976578301,192
438,671555022,337
439,810980711,118
440,382282304X,75
441,810981211,370
442,807614165,6
443,385721668,248
444,1456309722,126
445,736410007,74
446,727880195,180
447,1906552541,1
448,185788275X,99
449,939785064,71
450,1892597055,2755
451,047065175X,204
452,395905125,107
453,435902113,36
454,553384155,53110
455,1416971025,3124
456,1608202828,498
457,395559650,91
458,448401703,139
459,810949415,2441
460,857154656,839
461,778329860,36752
462,825421098,26
463,193378413X,2099
464,373107552,106
465,373796226,619
466,1596271329,293
467,1845295897,1102
468,1567182070,17
469,691125589,163
470,1847561675,3841
471,552143014,406
472,905333842X,692
473,9053332561,1331
474,9053335730,148
475,9053337075,331
476,9053330224,2876
477,9053336834,897
478,30619440,8
479,520266587,6
480,891073310,279
481,752430459,90
482,875526829,115
483,159635366X,7
484,186205648X,1478
485,1592334652,807
486,670022837,82
487,520267397,43
488,71701281,7
489,521150205,2
490,471513377,29
491,916189120,94
492,1426300409,35
493,738712078,90
494,738710415,11
495,1565790529,16
496,99466139,152
497,9896710627,157
498,006059683X,168
499,767920813,9187
500,393306577,1203
501,1560447834,28
502,898866804,20
503,684869578,4422
504,198503113,189
505,521457289,192
506,470901071,158
507,786904828,662
508,345452143,2792
509,316183091,500
510,847835855,8
511,521827965,30
512,60977574,462
513,943396581,27
514,823016285,5774
515,967560500,43
516,048623567X,169
517,486240657,108
518,891915605,968
519,967442907,24
520,3642152597,31
521,521675383,45
522,1403921555,14
523,465037410,190
524,059529894X,482
525,415938376,77
526,9500725959,4319
527,1446513904,4
528,786938080,172
529,974878995,21
530,1416995641,4391
531,292712944,10
532,807044393,1416
533,159030523X,38
534,1572331550,22
535,763614130,1794
536,312977026,2794
537,2940373124,93
538,380731509,58572
539,141021209,267
540,253205328,24
541,545116163,1585
542,1111307652,100
543,689824386,34
544,299250245,82
545,1606842617,581
546,385737866,515
547,1555917488,120
548,471236438,50
549,1588464830,68
550,155038222,397
551,140124195,2731
552,595263763,44
553,373528183,805
554,143035681,158
555,521529727,136
556,415911451,52
557,1935554468,1513
558,743260740,43
559,074252793X,6
560,586210911,3377
561,6476201,1356
562,063123196X,139
563,61020206,574
564,835607771,128
565,471415472,230
566,553104829,676
567,1593856121,473
568,6511856,553
569,1608611167,410
570,805030794,21
571,030795191X,1173
572,61051357,277
573,7115881,4143
574,982939213,2093
575,093607034X,66
576,373862105,49
577,1400046815,38
578,830823514,40
579,99472392,1163
580,006057531X,1114
581,380798646,1690
582,60575328,1091
583,380798654,1155
584,60815930,627
585,1556342810,84
586,743464427,145
587,312983859,319
588,373120877,65
589,25322613,37
590,449910423,314
591,1401202381,984
592,1565048024,620
593,156504827X,404
594,1401209785,681
595,300080247,87
596,684830523,149
597,141009500,57
598,050028637X,139
599,226568334,2769
600,882531050,339
601,1417977868,246
602,451213475,4767
603,074955598X,4
604,1932394281,150
605,373210345,6767
606,141650950X,1152
607,1608316858,121
608,785114750,120
609,1563894858,445
610,761453202,532
611,312954506,419
612,3822846228,81
613,3822852694,81
614,312974507,422
615,688173977,639
616,525477578,66
617,143119788,81877
618,785115072,36
619,1594481938,83767
620,373790414,72
621,1565074629,25
622,1852427523,65
623,7204914,4456
624,674749677,11
625,273650157,19
626,158846704X,20
627,754672581,29
628,1555534643,2310
629,142004677,1340
630,161034135X,1265
631,785153144,135
632,1593622082,116
633,159780276X,2479
634,1591843979,5017
635,1419931431,113
636,1561644757,7
637,141191791,361
638,1412903726,325
639,1594860335,32
640,425202550,156
641,785121285,32
642,632049294,22
643,1439189072,365
644,399239707,175
645,1441976825,2
646,1902405463,48
647,1450400957,274
648,340607580,78
649,805068007,306
650,761458824,130
651,761458050,743
652,080761310X,17
653,044061418X,429
654,307577651,8863
655,8126508183,17
656,970619367,5
657,803713622,369
658,1558009868,87
659,684193205,252
660,1401200451,1973
661,465020151,180
662,316328197,1501
663,571215661,746
664,1594489149,406
665,582098017,6
666,039914188X,423
667,375726535,3515
668,1576750655,293
669,080542640X,287
670,1933027614,40
671,1580115055,14
672,380800845,3143
673,380788780,2760
674,873512987,37
675,192853740,361
676,006123477X,1051
677,192853597,745
678,192803956,1087
679,192853570,468
680,192806912,425
681,64430561,211
682,60000651,277
683,373711409,55
684,195052161,3441
685,1451623496,12384
686,1851683690,369
687,816635064,12
688,590687158,3907
689,067401832X,432
690,375404244,314
691,393038416,6
692,047187373X,248
693,199584974,69
694,048667164X,140
695,738723169,27
696,080102689X,28
697,160819583X,387
698,195082354,37
699,1582974861,529
700,807830410,1932
701,674022610,16
702,186205147X,54
703,1608195384,2054
704,763624438,1197
705,030645291X,9
706,1586488759,1700
707,1841882380,1656
708,1579654304,110
709,045122289X,143
710,452284384,1106
711,3527403930,3
712,672333333,17
713,019975120X,4
714,1421510901,7524
715,083560845X,98
716,226534243,13
717,521601177,60
718,9004178740,1
719,70540187,28
720,679735984,1241
721,159558191X,212
722,70248303,32
723,309096227,164
724,192802526,991
725,375726543,1318
726,307595420,508
727,044111640X,1934
728,1849203016,242
